# tier, pixels, dist_cm, x, y, fps, pattern, acc_x, acc_y, acc_z, gyr_p, gyr_r, gyr_y, cur_p, cur_r, cur_y, tgt_p, tgt_r, tgt_y
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FAR, 0, 0, 0, 0, 0.0, NONE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
